"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kai","Olen käynyt yhteislenkillä","Yhteislenkki oli ","Minulle käteviä treenipaikkoja olisivat ","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa"
"2018/10/01 10:40:56 AM GMT+3","20-30","nainen","10km lenkin;puolimaratonin","yli viidesti viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","omalla autolla","17-19;19-21;>21","17-19;19-21;>21","","","17-19;19-21;>21","17-19;19-21;>21","17-19;19-21;>21","1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/10/05 1:37:35 PM GMT+3","20-30","nainen","1km lenkin;5km lenkin;10km lenkin;puolimaratonin","yli viidesti viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","","En","","Sippulanniemi;Keljonkangas;Myllyjärvi","juoksen alkulämpät;pyörällä","","7-10;10-12","7-10;10-12","","","","","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);tekniikkaralleja voisi tehdä joskus porukalla","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;juurakkoa;suota","viikkoa aiemmin"
"2018/10/05 2:18:09 PM GMT+3","20-30","nainen","5km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;kisaaminen;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute;Laiskuus","En","","Touruvuori;Halssila","","17-19","","19-21","17-19;19-21","17-19;19-21","10-12;12-15;15-17","10-12;12-15;15-17","45 min;1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/10/05 6:59:58 PM GMT+3","40-50","mies","puolimaratonin","kolmesti tai neljästi viikossa","lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä","Ajanpuute;Laiskuus","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas","","","","","","","","","1 h;1 h 30 min;2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","muutama päivä aiemmin riittää"
"2018/10/05 8:21:12 PM GMT+3","0-20","nainen","puolimaratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;kisaaminen;polkujuoksu pohjoisessa suomessa;UTMB skaba","En uskalla kulkea uusilla reiteillä yksin;Määrärahojen puute;Ajanpuute","En","","Laajis;Touruvuori","juoksen alkulämpät;pyörällä","7-10;10-12;12-15","7-10;10-12;12-15","7-10;10-12;12-15","7-10;10-12;12-15","7-10;10-12;12-15;15-17;17-19;19-21","5-7;7-10;10-12;12-15","15-17;17-19;19-21","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/10/05 8:53:13 PM GMT+3","30-40","nainen","ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila","pyörällä;omalla autolla","","","","","","","","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
"2018/10/06 4:37:09 PM GMT+3","20-30","nainen","10km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB skaba","Kaverin puute;Kulkuyhteydet","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Halssila;Keskusta;Keljonkangas","toisen kyydillä","","","","","19-21;>21","7-10;10-12;12-15;15-17;17-19;19-21;>21","7-10;10-12;12-15;15-17;17-19;19-21;>21","45 min;1 h","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää"
"2018/10/06 5:00:57 PM GMT+3","40-50","nainen","10km lenkin","yli viidesti viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot","Ajanpuute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopeaa","Halssila;Kanavuori;Kuokkala","pyörällä","17-19","","17-19","","","10-12;12-15;15-17","10-12;12-15;15-17","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","","edellisenä päivänä;muutama päivä aiemmin riittää"
"2018/10/06 9:30:54 PM GMT+3","20-30","nainen","1km lenkin;5km lenkin;10km lenkin;puolimaratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;kisaaminen","Ajanpuute;Kulkuyhteydet","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","","19-21","19-21","19-21","19-21","19-21;>21","12-15;15-17;17-19;19-21;>21","12-15;15-17;17-19;19-21","1 h;1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa"
"2018/10/06 10:00:07 PM GMT+3","40-50","nainen","puolimaratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa","Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava;ihme rymyämistä;kengät kastui","Kaikki em. käy","pyörällä;toisen kyydillä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;nelivetopaikkoja;rymypätkiä","edellisenä päivänä;muutama päivä aiemmin riittää"
